date,usd_brl
2023-01-02,5.3436
2023-01-03,5.3759
2023-01-04,5.4459
2023-01-05,5.4026
2023-01-06,5.2855
2023-01-09,5.2967
2023-01-10,5.2395
2023-01-11,5.202
2023-01-12,5.14
2023-01-13,5.1146
2023-01-16,5.1115
2023-01-17,5.1203
2023-01-18,5.0909
2023-01-19,5.2144
2023-01-20,5.1986
2023-01-23,5.1922
2023-01-24,5.1696
2023-01-25,5.1042
2023-01-26,5.0951
2023-01-27,5.0767
2023-01-30,5.0959
2023-01-31,5.0993
2023-02-01,5.0721
2023-02-02,4.9901
2023-02-03,5.103
2023-02-06,5.1763
2023-02-07,5.1695
2023-02-08,5.2036
2023-02-09,5.2315
2023-02-10,5.2526
2023-02-13,5.1834
2023-02-14,5.1507
2023-02-15,5.2243
2023-02-16,5.2432
2023-02-17,5.2012
2023-02-22,5.173
2023-02-23,5.133
2023-02-24,5.1791
2023-02-27,5.196
2023-02-28,5.2078
2023-03-01,5.207
2023-03-02,5.208
2023-03-03,5.2037
2023-03-06,5.197
2023-03-07,5.1901
2023-03-08,5.1387
2023-03-09,5.1353
2023-03-10,5.1822
2023-03-13,5.24
2023-03-14,5.2362
2023-03-15,5.2981
2023-03-16,5.2892
2023-03-17,5.2679
2023-03-20,5.2467
2023-03-21,5.2444
2023-03-22,5.2648
2023-03-23,5.2632
2023-03-24,5.2921
2023-03-27,5.2306
2023-03-28,5.1733
2023-03-29,5.1493
2023-03-30,5.1254
2023-03-31,5.0804
2023-04-03,5.0637
2023-04-04,5.0762
2023-04-05,5.0447
2023-04-06,5.0683
2023-04-10,5.0834
2023-04-11,5.0128
2023-04-12,4.9496
2023-04-13,4.9097
2023-04-14,4.9455
2023-04-17,4.9421
2023-04-18,4.9678
2023-04-19,5.0467
2023-04-20,5.0497
2023-04-24,5.0595
2023-04-25,5.0613
2023-04-26,5.0585
2023-04-27,5.015
2023-04-28,5.0007
2023-05-02,5.0334
2023-05-03,5.0227
2023-05-04,5.0106
2023-05-05,4.9696
2023-05-08,4.9696
2023-05-09,5.0007
2023-05-10,4.9547
2023-05-11,4.9696
2023-05-12,4.9234
2023-05-15,4.9103
2023-05-16,4.9122
2023-05-17,4.9513
2023-05-18,4.9647
2023-05-19,4.9858
2023-05-22,4.968
2023-05-23,4.9674
2023-05-24,4.9474
2023-05-25,4.999
2023-05-26,5.0114
2023-05-29,4.9954
2023-05-30,5.0593
2023-05-31,5.0959
2023-06-01,5.035
2023-06-02,4.9558
2023-06-05,4.9236
2023-06-06,4.9292
2023-06-07,4.9119
2023-06-09,4.8922
2023-06-12,4.8832
2023-06-13,4.8533
2023-06-14,4.8462
2023-06-15,4.8222
2023-06-16,4.8286
2023-06-19,4.7803
2023-06-20,4.793
2023-06-21,4.7795
2023-06-22,4.775
2023-06-23,4.7799
2023-06-26,4.7698
2023-06-27,4.7903
2023-06-28,4.8563
2023-06-29,4.8584
2023-06-30,4.8192
2023-07-03,4.7876
2023-07-04,4.8056
2023-07-05,4.8577
2023-07-06,4.8977
2023-07-07,4.8799
2023-07-10,4.8735
2023-07-11,4.8949
2023-07-12,4.8058
2023-07-13,4.8038
2023-07-14,4.7957
2023-07-17,4.8302
2023-07-18,4.804
2023-07-19,4.8
2023-07-20,4.7888
2023-07-21,4.7732
2023-07-24,4.7457
2023-07-25,4.7496
2023-07-26,4.7368
2023-07-27,4.7202
2023-07-28,4.7253
2023-07-31,4.7415
2023-08-01,4.7752
2023-08-02,4.8083
2023-08-03,4.8797
2023-08-04,4.8609
2023-08-07,4.901
2023-08-08,4.9217
2023-08-09,4.9015
2023-08-10,4.8518
2023-08-11,4.8918
2023-08-14,4.9481
2023-08-15,4.9812
2023-08-16,4.9772
2023-08-17,4.9816
2023-08-18,4.9724
2023-08-21,4.9847
2023-08-22,4.9431
2023-08-23,4.8977
2023-08-24,4.8748
2023-08-25,4.8772
2023-08-28,4.8938
2023-08-29,4.8706
2023-08-30,4.8653
2023-08-31,4.9219
2023-09-01,4.9318
2023-09-04,4.9176
2023-09-05,4.9705
2023-09-06,4.9762
2023-09-08,4.9835
2023-09-11,4.9366
2023-09-12,4.9505
2023-09-13,4.9171
